Year,Authors with ETIS account,Title,URL,DOI,Imported keywords,Author keywords,Abstract
2020,Asko Lõhmus; Kadri Runnel; Liina Remm; Maarja Vaikre; Raido Kont,Habitat models of focal species can link ecology and decision-making in sustainable forest management,https://www.mdpi.com/1999-4907/11/7/721,http://dx.doi.org/10.3390/f11070721,,,"A fundamental problem of sustainability is how to reduce the double complexity of ecological and social systems into simple operational terms. We highlight that the conservation concept of focal species (selected species sensitive to a set of anthropogenic threats to their habitat) links multiple issues of ecological sustainability, and their habitat models can provide a practical tool for solving these issues. A review of the literature shows that most spatial modeling of focal species focuses on vertebrates, lacks the aspect of aquatic and soil habitats, and has been slow in the uptake by actual management planning. We elaborate on a deductive modeling approach that first generalizes the main influential dimensions of habitat change (threats), which are then parameterized as habitat quality estimates for focal species. If built on theoretical understanding and properly scaled, the maps produced with such models can cost-effectively describe the dynamics of ecological qualities across forest landscapes, help set conservation priorities, and reflect on management plans and practices. The models also serve as ecological hypotheses on biodiversity and landscape function. We illustrate this approach based on recent additions to the forest reserve network in Estonia, which addressed the insufficient protection of productive forest types. For this purpose, mostly former production forests that may require restoration were set aside. We distinguished seven major habitat dimensions and their representative taxa in these forests and depicted each dimension as a practical stand-scale decision tree of habitat quality. The model outcomes implied that popular stand-structural targets of active forest restoration would recover passively in reasonable time in these areas, while a critically degraded condition (loss of old trees of characteristic species) required management beyond reserve borders. Another hidden issue revealed was that only a few stands of consistently low habitat quality concentrated in the landscape to allow cost-efficient restoration planning. We conclude that useful habitat models for sustainable forest management have to balance single-species realism with stakeholder expectations of meaningful targets and scales. Addressing such social aspects through the focal species concept could accelerate the adoption of biodiversity distribution modeling in forestry."
2024,Kirkke Reisberg; Liina Anim�gi,Longitudinal Associations of Body Fatness and Physical Fitness with Cognitive Skills in Preschoolers,https://www.mdpi.com/2227-9067/11/5/526,http://dx.doi.org/10.3390/children11050526,,,"A good cognitive status predicts academic, professional, and health outcomes. However, longitudinal data regarding the associations of body fatness, physical fitness, and cognition are relatively scarce and mixed. The purpose of this longitudinal study was to investigate whether body fatness, cardiorespiratory fitness (CRF), and muscular fitness (MF) in preschool are associated with cognitive skills in the first grade of school. A total of 133 South Estonian children whose age was 6&7 years were recruited from 13 kindergartens and again at 7&8 years after they had entered school. Body fat percentage (BF%), CRF, MF as the mean of z-scores of relative upper-limb strength, standing long jump results, and cognitive skills (verbal, conceptual, and perceptual) were studied. There were no associations between BF% and CRF in preschool with perceptual, conceptual, or verbal skills in school in boys and girls. In boys, a higher MF in preschool was associated with higher verbal skills (Î² = 0.293,p= 0.021) in school after adjustment for confounders. Cognitive skills at baseline seemed to be frequently associated with cognitive performance in school. In conclusion, higher MF in preschool was associated with better verbal skills in the first grade of school in boys but not in girls. Body fatness and cardiorespiratory fitness in preschool were not associated with cognitive skills in school."
2024,Amirhossein Barzandeh; Ilja Maljutenko; Jüri Elken; Sander Rikka,Reconstruction of Baltic Gridded Sea Levels from Tide Gauge and Altimetry Observations Using Spatiotemporal Statistics from Reanalysis,https://www.mdpi.com/2072-4292/16/15/2702,https://doi.org/10.3390/rs16152702,,,"A method for reconstructing weekly Baltic gridded sea levels was developed and tested. This method uses input data from tide gauge and altimetry observations. The reconstruction is based on sea level empirical orthogonal function (EOF) modes, calculated as spatiotemporal statistics from daily model reanalysis results available from the Copernicus Marine Service for the 1993&2021 period. In the semi-enclosed, tideless Baltic Sea, the four leading EOF modes cover 99% of the sea level variance. Several experiments with different combinations of input data were carried out. This method was validated against coastal tide gauges and altimetry data. The best reconstruction was obtained when both the tide gauges and altimetry data were used as inputs. An assessment of the centered root-mean-square difference (cRMSD) of the reconstruction versus the tide gauges revealed a value of 0.05 m, and a result of 0.10 m was revealed versus altimetry. The average coefficient of determination (R2) was determined to be 0.93 for the tide gauges and 0.82 for the altimetry data. In the cases where only one type of input data was used, the reconstruction worsened with respect to other data sources. The reconstruction method demonstrated its usefulness for the reconstruction of coastal sea levels in unsampled locations and the calculation of changes in sea volume."
2020,Kalle Kuusk; Peep Pihelo; Targo Kalamees,Development and Performance Assessment of Prefabricated Insulation Elements for Deep Energy Renovation of Apartment Buildings,https://www.mdpi.com/1996-1073/13/7/1709,http://dx.doi.org/10.3390/en13071709,,,"A need for the refurbishment and renewal of the existing building stock has been in focus for many decades, principally because of excessive global energy consumption and pollution. This paper presents a methodology and the results of analysis of choices of realizable sets of timber frame prefabricated insulation elements for major renovation of apartment buildings. Numerous combinations of elements with different characteristics were analyzed by applying measurements, interviews, and building performance simulation software, and thereupon their performance, installation eligibility, and concurrent cost levels were compared. Mineral wool board with a special wind barrier facing was found to be the best material as a wind barrier from the perspective of hygrothermal performance. An air and vapor barrier should have sufficient vapor permeability to allow dry-out of constructional moisture. It is possible to renovate apartment buildings to meet the nZEB energy performance requirements and their moisture safety can be guaranteed without paying high relative difference cost. Calculations showed that the global cost was lower for solutions with some mold growth risk. Great care is needed when decreasing costs without simultaneous hygrothermal analyses. The facade cladding was found to have the highest influence on the initial cost of the prefabricated insulation element."
2021,Heli Kirik; Olavi Kurina,Every single specimen counts: a new Docosia Winnertz (Diptera: Mycetophilidae) species described from a singleton,https://www.mdpi.com/2075-4450/12/12/1069#,https://doi.org/10.3390/insects12121069,,,"A new fungus gnat species has been described from a single specimen collected from Georgia (Sakartvelo). The new species, named after its occurrence in Caucasia asDocosia caucasicasp. n., is distinguished from congeners by the characters in male terminalia and a unique COI sequence. As a substantial proportion of species in ecological communities tend to be rare, about 20&30% of new insect taxa have been described from a singleton so far. Therefore, following high-quality standards when describing new species, particularly when dealing with minimalistic material, is crucial. As much as possible, using multiple sets of characters, like morphology and DNA sequencing, is encouraged."
2022,Anatole Danto,Integrating fishers' knowledge contributions in Marine Science to tackle bycatch in the Bay of Biscay,https://www.frontiersin.org/articles/10.3389/fmars.2022.1071163/full,http://dx.doi.org/10.3389/fmars.2022.1071163,cetacean bycatch | co-design | collective learning | conservation conflicts | controversy analysis | knowledge co-creation | local ecological knowledge | seabird bycatch,,"A normative framework aimed at mitigating bycatch was established at the European level and then at the national level in French law (FigureÂ 1). In 1992, when concerns arose regarding the impact of driftnets on dolphin and seabird populations, the Commission of the European Communities decided to prohibit â€œany vessel from carrying on board or engaging in fishing activities with one or more driftnets whose individual or cumulative length exceeds 2.5 kilometersâ€ (OJEC, 1992). This ban met a lot of resistance from the fishers and led to unintended consequences. Once driftnets were banned, fishing activity was shifted offshore by long-lining, where other species such as albatrosses and petrels started to be affected by bycatch (Euzen etÂ al., 2017). Another European regulation was implemented in 1997 to ban the use of driftnets for the capture of certain migratory fishes such as albacore (Thunnus alalunga) and bluefin tuna (Thunnus thynnus) starting from 2002 (OJEC, 1997). It was not until 2011 that French law transposed the European driftnet regulations (JORF, 2011a). Another ministerial order was issued in 2011, to determine the list of marine mammals protected on the national territory and the modalities of their protection (JORF, 2011b). In 2019, a bycatch reporting requirement for fishers was introduced, requiring ship captains to report protected marine mammal specimens caught accidentally in fishing gear (JORF, 2018). The information provided by fishers is intended to advance research into the understanding and characterization of incidental catches, with the aim of preventing them. This declaration can be made through a digital declaration for vessels of more than 12 meters equipped with an electronic fishing logbook, while smaller vessels can use fishing paper's sheets (Ministry of Agriculture, 2022). Finally, from 26 December 2019, fishers have the obligation to equip pelagic trawls with acoustic deterrent devices, also called pingers, in the Bay of Biscay (JORF, 2019)."
2020,Kai Pata,"Citizen Science, Education, and Learning: Challenges and Opportunities",https://www.frontiersin.org/articles/10.3389/fsoc.2020.613814/abstract,https://doi.org/10.3389/fsoc.2020.613814,,,"A number of associations have been established world-wide, with the aim of bringing together people who are involved in citizen science. The most distinguished of these are the Citizen Science Association (ostensibly a US-based association, but offering global membership), the European Citizen Science Association, and the Australian Citizen Science Association. Each of these relatively new associations have highlighted education and learning as critical issues for citizen science as an emerging professional field (Storksdieck et al., 2016;Roche and Davis, 2017a). Citizen science has the capacity to â€œdevelop connections between students' everyday lives and science so that they will have tangible reasons for continuing with the lifelong learning of scienceâ€ (Jenkins, 2011, p. 501). It can function as a means of engaging the public with science on the scale of individual experiments, creating a unique position of combining participation, monitoring, and social change (Doyle et al., 2019;Dawson et al., 2020). Citizen science also offers a route by which the tenets of responsible research and innovation (Owen et al., 2012) may be fulfilled, particularly by facilitating lesser-heard communities in having their voices heard in relation to scientific policy-making and governance. This is now of more importance than ever, as researchers and academic experts find society's trust in their authority diminished (Roche and Davis, 2017b), while the COVID-19 pandemic has demonstrated the acute need for public trust to be strengthened (Henderson et al., 2020). Indeed, citizen science might offer a more pressing model for science in a post-pandemic world (Provenzi and Barello, 2020). Despite its growing importance, citizen science is rarely considered in terms of science education research (Kelemen-Finan et al., 2018). For the purposes of this paper, the term â€œscienceâ€ is taken to encompass systematic and evidence-based investigations in the pursuit of new knowledge, while the term â€œeducationâ€ is considered to be the acquisition of knowledge through learning. Learning can be self-directed, but often relies on the guidance of a teacher. The learning can take place in either formal or informal environments and the methods of teaching, or pedagogy, can be as varied as the settings themselves. While these definitions are not all-inclusive, they provide a starting point where science, education, and learning can be considered in relation to the emerging challenges and opportunities stemming from citizen science."
2023,Dmytro Khutkyy,"Internet voting for open government: what, why, and how to introduce it in local communities",https://europeandigital.org/files/19/EDDA-ECAS-brief-open-government-local.pdf,,,,"A number of local communities in Europe have introduced elements of transparency, participation, and accountability in their municipalities. Still, given the abundance of available data and civic engagement forms, there is always a potential for further development. This is especially promising with the help of the open government framework that encourages the introduction of innovative and digital technologies. One notable tool is internet voting (i-voting) since it is able to empower people with a more direct and influential voice in local policy making. Thereby, this paper suggests some concepts and models of open government and i-voting, provides several examples, outlines preconditions, discusses risks, and offers recommendations for introducing i-voting and enhancing open government. This brief is designed as a source of ideas for advancing open government and i-voting in local communities."
2020,Galina Demidova,Continuous Control Set Model Predictive Control of a Switch Reluctance Drive Using Lookup Tables,https://www.mdpi.com/1996-1073/13/13/3317,http://doi.org/10.3390/en13133317,,,"A problem of the switched reluctance drive is its natural torque pulsations, which are partially solved with finite control set model predictive control strategies. However, the continuous control set model predictive control, required for precise torque stabilization and predictable power converter behavior, needs sufficient computation resources, thus limiting its practical implementation. The proposed model predictive control strategy utilizes offline processing of the magnetization surface of the switched reluctance motor. This helps to obtain precalculated current references for each torque command and rotor angular position in the offline mode. In online mode, the model predictive control strategy implements the current commands using the magnetization surface for fast evaluation of the required voltage command for the power converter. The proposed strategy needs only two lookup table operations requiring very small computation time, making instant execution of the whole control system possible and thereby minimizing the control delay. The proposed solution was examined using a simulation model, which showed precise and rapid torque stabilization below rated speed."
2021,Anton Rassõlkin; Ants Kallaste; Bilal Asad; Galina Demidova; Karolina Kudelina; Toomas Vaimann,Trends and Challenges in Intelligent Condition Monitoring of Electrical Machines Using Machine Learning,https://www.mdpi.com/2076-3417/11/6/2761,http://dx.doi.org/10.3390/app11062761,,,"A review of the fault diagnostic techniques based on machine is presented in this paper. As the world is moving towards industry 4.0 standards, the problems of limited computational power and available memory are decreasing day by day. A significant amount of data with a variety of faulty conditions of electrical machines working under different environments can be handled remotely using cloud computation. Moreover, the mathematical models of electrical machines can be utilized for the training of AI algorithms. This is true because the collection of big data is a challenging task for the industry and laboratory because of related limited resources. In this paper, some promising machine learning-based diagnostic techniques are presented in the perspective of their attributes."
2021,Ants Vain; Are Selge; Janar Raet; Kai-Yun Li; Kalev Sepp; Karli Sepp; Miguel Villoslada Pecina; Raul Sampaio De Lima,The Application of an Unmanned Aerial System and Machine Learning Techniques for Red Clover-Grass Mixture Yield Estimation under Variety Performance Trials,https://www.mdpi.com/2072-4292/13/10/1994,https://doi.org/10.3390/rs13101994,unmanned aerial system; red clover; random forest; support vector regression; artificial neural network; tillage; fertilizing; manure; forage legume; yield estimation,,"A significant trend has developed with the recent growing interest in the estimation of aboveground biomass of vegetation in legume-supported systems in perennial or semi-natural grasslands to meet the demands of sustainable and precise agriculture. Unmanned aerial systems (UAS) are a powerful tool when it comes to supporting farm-scale phenotyping trials. In this study, we explored the variation of the red clover-grass mixture dry matter (DM) yields between temporal periods (one- and two-year cultivated), farming operations [soil tillage methods (STM), cultivation methods (CM), manure application (MA)] using three machine learning (ML) techniques [random forest regression (RFR), support vector regression (SVR), and artificial neural network (ANN)] and six multispectral vegetation indices (VIs) to predict DM yields. The ML evaluation results showed the best performance for ANN in the 11-day before harvest category (R2= 0.90, NRMSE = 0.12), followed by RFR (R2= 0.90 NRMSE = 0.15), and SVR (R2= 0.86, NRMSE = 0.16), which was furthermore supported by the leave-one-out cross-validation pre-analysis. In terms of VI performance, green normalized difference vegetation index (GNDVI), green difference vegetation index (GDVI), as well as modified simple ratio (MSR) performed better as predictors in ANN and RFR. However, the prediction ability of models was being influenced by farming operations. The stratified sampling, based on STM, had a better model performance than CM and MA. It is proposed that drone data collection was suggested to be optimum in this study, closer to the harvest date, but not later than the ageing stage."
2022,Alexander Vanetsev; Irina Hussainova; Madis Paalo; Mahsa Amiri; Medhat Hussainov; Tanel T�tte,Rheological Properties of MWCNT-Doped Titanium-Oxo-Alkoxide Gel Materials for Fiber Drawing,https://www.mdpi.com/1996-1944/15/3/1186,http://dx.doi.org/10.3390/ma15031186,,CNT doped composites; titanium oxide; sol-gel; rheology; elongational viscosity,"A strategy of doping by multi-walled carbon nanotubes (MWCNT) to enhance mechanical strength and the electrical conductivity of ceramic fibers has nowadays attracted a great deal of attention for a wide variety of industrial applications. This study focuses on the effect of MWCNTs on rheological properties of metal alkoxide precursors used for the preparation of nanoceramic metal oxide fibers. The rheological behavior of MWCNT-loaded titanium alkoxide sol precursors has been evaluated via an extensional rheometry method. A substantial decrease in elongational viscosity and relaxation time has been observed upon an introduction of MWCNTs even of low concentrations (less than 0.1 wt.%). A high quality MWCNT/nanoceramic TiO2composite fibers drawn from the specified precursors has been validated. The MWCNT percolation, which is mandatory for electrical conductivity (50 S/m), has been achieved at 1 wt.% MWCNT doping."
2023,Jaan Leis; Maike K��rik; Mati Arulepp,"Partial oxidation to extend the lifetime of nanoporous carbon
in an ultracapacitor with Li2SO4 electrolyte",https://www.mdpi.com/1420-3049/28/7/2944,http://dx.doi.org/10.3390/molecules28072944,,,"A TiC-derived carbon (CDC) and its partially oxidized derivative (ox-red-CDC), oxidized by a modified Hummers method, were studied as promising electrode materials for electrochemical energy storage. To evaluate the electrochemical properties of the carbon materials, cyclic voltammetry, galvanostatic cycling, and electrochemical impedance spectroscopy measurements were performed in 1 M Li2SO4using 2- and 3-electrode cells. A partially oxidized surface was shown to improve the capacitance and electrochemical stability of a nanoporous CDC at positive potential values. The respective anodic capacitance of 80 F cmâˆ’3reveals a 15% improvement over the non-oxidized CDC. At negative potential values, the capacitance of two carbon materials is almost equal, 97 vs. 93 F cmâˆ’3, for the non-oxidized and partially oxidized CDC materials, respectively. An asymmetric 2-electrode ultracapacitor containing ox-red-CDC as the anode and pristine CDC as the cathode demonstrated an excellent cycle life. The temporary repolarization of the 2-electrode cell after thousands of charge&discharge cycles increased the capacitance and improved the cycling characteristics, likely due to regeneration and cleaning of the electrode surface."
